Date,Open,High,Low,Close,Volume
2005-01-04,996.68,996.68,984.8,986.93,2323762
2005-01-05,986.57,1008.86,985.68,1003.63,3486101
2005-01-06,1003.49,1003.49,990.79,994.6,2933905
2005-01-07,993.43,1009.0,990.45,997.61,3391626
2005-01-10,996.93,1006.46,993.12,1006.34,2949405
2005-01-11,1006.21,1009.5,999.86,1008.34,3136115
2005-01-12,1008.01,1008.74,998.36,1008.62,3196393
2005-01-13,1008.1,1014.84,1005.35,1013.07,4715733
2005-01-14,1012.7,1019.48,999.27,1000.17,4016937
2005-01-17,990.99,991.02,974.33,977.52,4358603
2005-01-18,977.6,991.84,974.15,991.42,4516132
2005-01-19,991.29,991.29,981.23,986.24,4255249
2005-01-20,983.2,983.2,966.89,972.46,4652048
2005-01-21,971.5,989.72,951.43,988.52,6185255
2005-01-24,1009.95,1009.95,998.37,1008.18,7323355
2005-01-25,1006.0,1006.0,989.95,999.55,4694803
2005-01-26,997.64,997.64,985.67,987.96,4113900
2005-01-27,986.15,986.15,970.35,971.37,4123213
2005-01-28,971.37,971.94,949.11,952.41,4072373
2005-01-31,948.44,948.44,921.58,922.65,4095099
2005-02-01,919.8,929.69,911.93,913.33,4199745
2005-02-02,913.03,964.42,913.03,964.24,6553566
2005-02-03,963.75,967.94,944.76,945.31,6371300
2005-02-04,944.45,963.81,943.47,962.03,5193013
2005-02-16,967.43,979.3,965.94,972.34,4693322
2005-02-17,971.84,977.44,964.32,977.27,4031958
2005-02-18,977.12,977.12,964.55,964.77,4112811
2005-02-21,965.0,981.89,964.47,981.82,4765203
2005-02-22,982.42,1008.67,980.51,1007.69,9575789
2005-02-23,1008.29,1023.33,1002.8,1019.26,10201823
2005-02-24,1018.29,1024.87,1012.45,1024.45,8683232
2005-02-25,1024.57,1035.47,1023.74,1024.12,9650761
2005-02-28,1023.19,1026.04,1014.94,1020.85,7028051
2005-03-01,1020.6,1023.96,1011.56,1021.16,6675636
2005-03-02,1021.36,1028.33,1005.34,1006.15,7457971
2005-03-03,1004.1,1011.7,996.36,1011.29,5372494
2005-03-04,1011.2,1012.67,1001.85,1003.21,4525189
2005-03-07,1004.34,1008.36,1001.86,1006.95,4475140
2005-03-08,1007.68,1029.46,1007.68,1029.46,7187007
2005-03-09,1031.6,1034.62,1024.89,1032.55,8257822
2005-03-10,1032.27,1032.27,1002.42,1005.55,7106020
2005-03-11,1003.78,1010.86,999.11,1009.43,5955310
2005-03-14,1009.18,1016.54,991.06,1007.77,7550503
2005-03-15,1007.89,1007.89,992.02,993.83,6499568
2005-03-16,992.64,992.64,977.13,983.92,5311964
2005-03-17,983.11,984.25,970.34,970.97,5313307
2005-03-18,969.12,973.1,945.6,949.51,5393917
2005-03-21,947.57,952.76,940.09,949.55,4192190
2005-03-22,948.78,949.07,918.09,922.56,5795013
2005-03-23,921.07,937.68,914.54,923.19,5290283
2005-03-24,922.18,933.92,914.65,933.35,4319201
2005-03-25,933.17,936.13,927.18,931.42,4189844
2005-03-28,930.17,930.17,909.17,922.92,4019570
2005-03-29,922.66,929.46,916.65,916.81,3698567
2005-03-30,915.09,915.09,887.98,888.95,4689495
2005-03-31,887.07,896.41,880.88,896.07,4125613
2005-04-01,895.23,934.55,884.63,927.55,6921793
2005-04-04,919.14,920.62,904.62,909.87,5333838
2005-04-05,908.19,912.38,899.8,901.74,4572502
2005-04-06,901.74,921.64,893.03,918.56,6805027
2005-04-07,919.24,945.57,917.63,932.33,9540235
2005-04-08,931.77,949.47,928.06,949.46,7997380
2005-04-11,949.85,957.34,943.72,948.51,8688242
2005-04-12,947.12,947.12,927.11,927.41,6039966
2005-04-13,932.31,951.2,932.31,950.23,8141086
2005-04-14,952.54,954.14,934.13,935.43,6983687
2005-04-15,931.67,931.67,911.32,913.27,6661596
2005-04-18,910.89,910.89,895.28,901.12,5003269
2005-04-19,899.93,905.05,893.29,902.79,4798602
2005-04-20,902.22,902.22,880.93,884.08,5321650
2005-04-21,881.68,886.44,863.14,867.33,6250349
2005-04-22,865.82,870.01,851.34,857.4,6224884
2005-04-25,846.14,847.81,829.55,841.06,5819861
2005-04-26,839.25,858.11,835.86,855.24,6199955
2005-04-27,857.95,857.95,839.56,839.95,5943654
2005-04-28,837.38,863.45,825.51,860.62,7643112
2005-04-29,860.39,860.39,845.44,847.61,6013685
2005-05-09,848.09,851.21,818.11,818.4,4206100
2005-05-10,814.77,818.5,791.1,818.09,4946935
2005-05-11,816.82,822.77,809.58,811.57,4637579
2005-05-12,810.16,814.89,799.82,807.51,4597105
2005-05-13,806.73,819.42,801.87,814.88,5197528
2005-05-16,814.06,814.06,802.82,808.17,4537502
2005-05-17,806.81,821.05,803.42,818.46,4955081
2005-05-18,818.12,824.77,811.04,824.64,4558077
2005-05-19,824.83,828.58,814.15,824.94,4776276
2005-05-20,824.57,828.08,818.37,819.13,4327522
2005-05-23,816.2,816.2,793.05,793.72,4312715
2005-05-24,791.13,811.67,788.82,808.74,4695292
2005-05-25,808.52,817.67,803.94,809.7,5294537
2005-05-26,808.66,812.69,795.43,799.02,4838787
2005-05-27,797.18,806.25,789.86,791.0,4167631
2005-05-30,788.64,799.4,783.85,797.53,3848708
2005-05-31,798.33,802.04,793.88,796.87,4299736
2005-06-01,795.82,795.82,774.35,778.67,4648727
2005-06-02,777.47,779.23,764.15,769.42,4950638
2005-06-03,767.67,772.83,755.26,765.97,4586315
2005-06-06,764.66,778.4,751.32,778.21,4763542
2005-06-07,779.72,795.42,776.12,779.84,7087300
2005-06-08,782.01,845.06,782.01,841.36,14973544
2005-06-09,840.23,858.75,829.28,849.73,15311451
2005-06-10,850.02,850.02,827.75,831.61,10035948
2005-06-13,830.8,837.38,818.58,834.25,6894838
2005-06-14,835.35,841.33,817.53,818.19,7401586
2005-06-15,815.73,815.73,794.85,796.26,5884532
2005-06-16,795.76,804.04,786.01,803.95,5514482
2005-06-17,805.75,809.58,796.89,800.14,5478499
2005-06-20,799.47,823.91,786.43,823.73,7966476
2005-06-21,823.54,824.04,813.28,816.2,6385113
2005-06-22,814.91,819.49,808.77,818.65,4992737
2005-06-23,818.19,821.46,808.56,809.35,5246658
2005-06-24,807.68,813.28,802.49,813.2,4276755
2005-06-27,817.28,838.42,817.28,834.35,9280984
2005-06-28,832.16,832.16,817.29,819.05,5747787
2005-06-29,818.09,821.08,813.08,814.06,5149890
2005-06-30,813.15,813.15,790.76,791.5,5354700
2005-07-01,789.18,789.18,758.71,760.35,6469073
2005-07-04,756.03,756.03,732.86,749.48,5909701
2005-07-05,747.89,752.77,739.62,744.6,4391462
2005-07-06,744.8,750.3,738.38,743.44,4280243
2005-07-07,743.32,751.13,740.49,747.42,3925134
2005-07-08,746.29,746.29,722.28,722.85,5099620
2005-07-11,725.64,742.95,712.97,714.48,5045519
2005-07-12,712.31,740.59,708.99,739.53,6903271
2005-07-13,738.61,738.74,729.59,732.44,5718450
2005-07-14,732.01,740.05,729.27,732.54,5236366
2005-07-15,732.67,736.41,712.44,714.49,5942104
2005-07-18,712.32,712.32,694.85,696.85,4817896
2005-07-19,695.77,705.08,692.7,703.07,4185245
2005-07-20,703.17,711.01,699.19,707.29,4243009
2005-07-21,707.05,707.94,695.38,704.79,4745981
2005-07-22,704.61,728.52,704.23,721.45,9508555
2005-07-25,720.61,720.99,714.68,718.87,5771020
2005-07-26,718.62,736.72,718.6,735.86,9191361
2005-07-27,736.29,750.09,731.08,750.02,9472478
2005-07-28,750.4,755.94,744.02,747.23,10747152
2005-07-29,746.59,748.38,739.4,744.83,7056953
2005-08-01,744.77,751.05,742.9,750.49,6317943
2005-08-02,750.96,763.29,746.82,763.29,8902167
2005-08-03,764.94,781.03,763.87,769.75,14083549
