Date,Open,High,Low,Close,Volume
2013-12-31,1000.0,1000.0,1000.0,1000.0,8597500
2014-01-02,999.14,1016.49,999.14,1016.45,9535800
2014-01-03,1013.66,1015.77,1009.16,1012.98,10210900
2014-01-06,1010.05,1010.05,982.72,982.86,9090200
2014-01-07,978.64,990.75,976.86,990.75,7319300
2014-01-08,991.58,999.98,991.52,996.5,8758800
2014-01-09,994.83,999.32,978.68,978.68,8746000
2014-01-10,974.3,974.81,960.05,962.59,7519200
2014-01-13,962.42,970.22,958.91,965.75,5827600
2014-01-14,966.13,985.82,965.22,985.82,7327500
2014-01-15,985.44,994.38,985.44,994.38,7924500
2014-01-16,995.43,1001.47,993.28,997.66,8953600
2014-01-17,996.27,999.12,991.41,992.96,7753700
2014-01-20,992.0,994.38,981.41,987.69,7639500
2014-01-21,986.12,1006.51,986.12,1006.51,8259600
2014-01-22,1006.68,1024.53,1006.68,1024.53,10574400
2014-01-23,1023.81,1039.02,1023.81,1036.04,10858400
2014-01-24,1035.56,1050.29,1035.56,1046.76,10628700
2014-01-27,1042.82,1054.53,1039.38,1046.38,9967000
2014-01-28,1045.83,1050.25,1032.72,1042.83,8331100
2014-01-29,1043.7,1054.24,1043.7,1053.92,7667400
2014-01-30,1052.95,1054.7,1047.81,1050.07,6142300
2014-02-07,1044.77,1069.16,1044.77,1069.16,7663600
2014-02-10,1071.37,1097.95,1071.37,1097.95,12104800
2014-02-11,1099.04,1107.41,1089.0,1103.61,12268200
2014-02-12,1104.75,1122.47,1101.04,1122.47,12947400
2014-02-13,1121.29,1122.91,1102.08,1102.08,12994000
2014-02-14,1101.76,1128.33,1101.23,1128.33,11400400
2014-02-17,1131.06,1153.58,1131.06,1153.58,13211200
2014-02-18,1153.91,1159.84,1148.92,1155.74,14214200
2014-02-19,1154.05,1162.35,1149.21,1156.69,13154600
2014-02-20,1155.99,1155.99,1133.76,1137.07,12436000
2014-02-21,1135.25,1143.75,1126.88,1137.61,9941300
2014-02-24,1135.17,1151.38,1128.66,1151.38,10217500
2014-02-25,1153.58,1161.54,1101.38,1106.5,14737900
2014-02-26,1100.27,1113.68,1079.6,1113.68,10466400
2014-02-27,1116.89,1130.45,1095.62,1095.94,11137900
2014-02-28,1091.74,1108.0,1081.08,1108.0,9300000
2014-03-03,1106.02,1133.22,1106.02,1133.13,10658600
2014-03-04,1129.68,1135.22,1119.41,1134.52,10276600
2014-03-05,1136.83,1142.52,1132.21,1135.02,9729900
2014-03-06,1134.02,1138.85,1123.38,1138.52,9520000
2014-03-07,1137.63,1143.18,1131.13,1135.98,9494200
2014-03-10,1126.85,1126.85,1092.77,1092.77,9785900
2014-03-11,1086.37,1096.53,1077.96,1088.08,8518600
2014-03-12,1083.73,1091.23,1066.74,1084.81,8543700
2014-03-13,1082.27,1098.63,1082.27,1098.63,7586400
2014-03-14,1094.39,1100.69,1090.9,1097.95,7345700
2014-03-17,1097.83,1124.79,1097.83,1124.79,8439800
2014-03-18,1126.14,1139.76,1126.14,1133.22,9761100
2014-03-19,1132.08,1139.15,1126.35,1139.15,9389000
2014-03-20,1136.84,1141.31,1106.6,1106.6,10828300
2014-03-21,1098.64,1123.49,1092.76,1123.49,10070100
2014-03-24,1123.37,1128.11,1119.68,1123.12,9918900
2014-03-25,1120.21,1125.14,1115.14,1121.28,9979300
2014-03-26,1120.92,1129.53,1120.92,1129.53,9044900
2014-03-27,1127.32,1127.32,1104.23,1104.23,10416800
2014-03-28,1100.58,1102.63,1072.13,1074.21,10483200
2014-03-31,1071.94,1076.46,1062.26,1068.61,7418000
2014-04-01,1067.02,1088.12,1067.02,1088.12,6850000
2014-04-02,1088.33,1090.26,1081.14,1084.54,7471800
2014-04-03,1083.6,1092.83,1082.42,1088.79,7262300
2014-04-04,1087.05,1099.82,1085.4,1099.82,6799100
2014-04-08,1095.06,1109.34,1094.11,1109.34,7754100
2014-04-09,1109.77,1124.46,1109.77,1124.46,8500400
2014-04-10,1125.54,1135.44,1125.54,1128.46,9985600
2014-04-11,1123.11,1128.51,1117.45,1126.78,9584300
2014-04-14,1126.66,1138.78,1126.66,1138.78,9131900
2014-04-15,1138.27,1138.53,1132.29,1133.99,9830100
2014-04-16,1131.23,1135.82,1127.83,1134.67,8691700
2014-04-17,1134.48,1139.2,1134.48,1136.92,8757100
2014-04-18,1133.77,1143.29,1133.37,1143.29,8370700
2014-04-21,1135.59,1142.08,1124.28,1124.96,9107300
2014-04-22,1120.85,1123.48,1099.3,1114.1,8828200
2014-04-23,1112.6,1116.9,1105.9,1111.05,7039800
2014-04-24,1109.45,1112.0,1101.68,1106.07,7908100
2014-04-25,1104.14,1106.23,1082.67,1082.67,9533100
2014-04-28,1076.24,1076.24,1046.6,1046.67,8734500
2014-04-29,1042.56,1060.57,1042.56,1060.57,6755100
2014-04-30,1059.23,1071.14,1059.23,1071.14,6727600
2014-05-05,1068.94,1087.75,1068.44,1087.75,7793600
2014-05-06,1086.87,1099.98,1086.87,1097.29,8598500
2014-05-07,1093.43,1093.43,1077.56,1077.56,8527200
2014-05-08,1075.15,1089.23,1073.28,1079.15,7907000
2014-05-09,1077.02,1077.02,1062.46,1071.26,7648200
2014-05-12,1075.1,1092.22,1073.39,1092.22,8714900
2014-05-13,1091.71,1096.33,1089.68,1092.25,8004400
2014-05-14,1092.04,1097.01,1090.82,1095.99,7044400
2014-05-15,1094.09,1094.4,1074.64,1074.72,7534600
2014-05-16,1071.91,1072.43,1060.01,1071.72,6612100
2014-05-19,1069.77,1069.77,1061.32,1068.92,5429600
2014-05-20,1073.5,1084.44,1073.5,1077.17,5997000
2014-05-21,1075.85,1089.12,1068.21,1089.12,5949800
2014-05-22,1089.19,1097.39,1088.57,1088.57,7235800
2014-05-23,1087.57,1099.91,1086.22,1099.91,6423200
2014-05-26,1102.47,1117.17,1102.47,1117.17,7597500
2014-05-27,1118.23,1121.06,1115.61,1118.88,8022000
2014-05-28,1117.51,1131.47,1116.71,1131.47,9650000
2014-05-29,1130.57,1131.56,1118.48,1118.65,9096400
2014-05-30,1117.87,1123.18,1112.93,1121.91,7975600
2014-06-03,1121.36,1124.96,1119.21,1119.21,7791100
2014-06-04,1116.8,1116.8,1104.35,1113.69,7991500
2014-06-05,1111.88,1128.55,1110.7,1128.55,8818600
2014-06-06,1127.79,1130.99,1121.79,1127.04,9924900
2014-06-09,1124.41,1129.53,1123.39,1125.25,8867500
2014-06-10,1124.65,1140.0,1120.47,1140.0,9560700
2014-06-11,1137.78,1147.78,1137.78,1147.69,10482000
2014-06-12,1144.76,1151.86,1143.21,1150.15,11320900
2014-06-13,1148.61,1160.38,1148.61,1159.54,11334500
2014-06-16,1159.5,1166.26,1159.5,1166.26,10600200
2014-06-17,1163.93,1163.93,1157.56,1158.76,10411200
2014-06-18,1157.05,1157.05,1147.36,1147.87,10884700
2014-06-19,1145.81,1147.88,1111.61,1116.83,10533300
2014-06-20,1114.78,1130.11,1114.78,1130.11,7602000
2014-06-23,1131.73,1145.61,1131.73,1143.4,8696700
2014-06-24,1142.82,1151.56,1142.82,1151.56,8726600
2014-06-25,1150.19,1150.19,1143.77,1148.35,8482200
2014-06-26,1147.94,1167.09,1147.94,1166.15,10651000
2014-06-27,1165.39,1181.38,1165.39,1178.36,11974400
2014-06-30,1180.21,1189.85,1178.01,1189.85,11981400
2014-07-01,1191.19,1196.61,1190.97,1196.61,13078100
2014-07-02,1196.96,1205.84,1192.26,1205.84,14447800
2014-07-03,1206.03,1211.82,1204.37,1210.47,14182000
2014-07-04,1210.13,1215.38,1208.68,1213.15,13263100
2014-07-07,1213.12,1217.64,1208.67,1217.64,13100700
2014-07-08,1216.37,1228.27,1210.83,1228.27,13203500
2014-07-09,1225.52,1231.23,1211.47,1211.47,15975700
2014-07-10,1208.97,1221.96,1208.97,1217.23,13293300
2014-07-11,1217.23,1228.08,1217.23,1226.68,12345200
2014-07-14,1227.22,1243.36,1227.22,1243.36,13196200
2014-07-15,1243.5,1244.25,1227.16,1236.28,14487700
2014-07-16,1235.74,1236.65,1219.03,1222.61,13933700
2014-07-17,1220.75,1220.75,1211.67,1220.45,10299900
2014-07-18,1216.44,1224.67,1216.44,1219.17,9739700
2014-07-21,1218.23,1218.96,1210.5,1216.84,9428100
2014-07-22,1214.98,1232.05,1214.98,1232.05,11765300
2014-07-23,1233.46,1235.09,1215.66,1219.81,13845500
2014-07-24,1217.86,1221.15,1203.16,1211.7,13903600
2014-07-25,1209.55,1220.61,1209.55,1220.61,11582600
2014-07-28,1222.65,1238.18,1222.65,1238.18,14449200
2014-07-29,1238.75,1252.64,1237.56,1252.44,15572200
2014-07-30,1249.9,1260.57,1248.84,1260.17,15462200
2014-07-31,1259.43,1270.11,1258.19,1270.11,14069400
2014-08-01,1267.87,1273.74,1256.86,1258.08,14986700
2014-08-04,1259.02,1274.71,1259.02,1274.71,12933700
2014-08-05,1275.24,1285.0,1269.88,1285.0,14344400
2014-08-06,1282.01,1288.73,1277.46,1288.6,13980100
2014-08-07,1286.82,1292.66,1276.17,1276.34,13678400
2014-08-08,1276.11,1286.64,1276.11,1286.4,11506700
2014-08-11,1287.36,1305.07,1287.36,1305.07,14578600
2014-08-12,1305.6,1313.47,1303.61,1313.47,15446900
2014-08-13,1313.05,1318.72,1301.1,1318.72,16690700
2014-08-14,1317.14,1327.22,1313.34,1313.72,17004600
2014-08-15,1313.26,1331.44,1313.26,1331.44,16082900
2014-08-18,1334.9,1357.45,1334.9,1357.45,18696600
2014-08-19,1358.94,1367.2,1356.85,1365.42,20366800
2014-08-20,1363.84,1372.48,1361.76,1367.15,18575300
2014-08-21,1367.41,1369.39,1353.4,1369.39,16347700
2014-08-22,1369.89,1382.06,1366.32,1381.24,16938400
2014-08-25,1381.79,1382.29,1369.88,1374.92,15944400
2014-08-26,1372.79,1376.57,1342.82,1348.17,17180700
2014-08-27,1347.8,1361.28,1347.8,1359.99,12932300
2014-08-28,1362.25,1365.06,1347.36,1350.62,13560500
2014-08-29,1349.34,1366.31,1349.18,1366.31,12130500
2014-09-01,1367.62,1394.65,1367.62,1394.65,13956600
2014-09-02,1398.18,1417.8,1398.18,1417.8,17656600
2014-09-03,1421.1,1432.23,1417.5,1431.91,21023700
2014-09-04,1433.7,1446.4,1430.2,1446.4,19978400
2014-09-05,1447.83,1452.89,1441.79,1452.89,17681000
2014-09-09,1454.3,1469.03,1449.06,1469.03,18278200
2014-09-10,1466.87,1484.96,1465.05,1484.65,19001000
2014-09-11,1486.92,1504.11,1478.97,1488.7,22348300
2014-09-12,1488.98,1511.57,1488.75,1511.57,19033400
2014-09-15,1514.15,1535.46,1513.98,1535.06,20931700
2014-09-16,1537.38,1537.38,1483.51,1483.78,24159700
2014-09-17,1485.6,1500.54,1473.92,1500.54,15715500
2014-09-18,1501.11,1515.53,1501.11,1515.53,14966600
